Density,Viscosity,Oil Saturation,Net Thickness,Permeability,Depth,EOR Process,,,,,,,,,,,
23,28,74,4,27,2698,3,,,,,,,,,,,
38,26,49,3,26,2626,3,,,,,,,,,,,
27,28,35,5,26,2259,3,,,,,,,,,,,
50,30,38,3,33,2408,3,,,,,,,,,,,
26,25,58,5,50,2066,3,,,,,,,,,,,
41,21,53,3,31,2684,3,,,,,,,,,,,
47,29,44,3,34,2136,3,,,,,,,,,,,
22,21,55,3,39,2689,3,,,,,,,,,,,
23,26,58,4,32,2318,3,,,,,,,,,,,
21,29,64,5,23,2108,3,,,,,,,,,,,
50,29,69,3,24,2029,3,,,,,,,,,,,
23,23,48,5,22,2103,3,,,,,,,,,,,
17,30,67,5,47,2682,3,,,,,,,,,,,
23,21,37,4,20,2515,3,,,,,,,,,,,
45,30,61,4,22,2305,3,,,,,,,,,,,
27,30,65,4,27,2296,3,,,,,,,,,,,
49,29,77,3,40,2420,3,,,,,,,,,,,
40,22,70,5,44,2071,3,,,,,,,,,,,
46,30,43,3,40,2154,3,,,,,,,,,,,
22,24,71,4,24,2366,3,,,,,,,,,,,
31,20,47,4,35,2696,3,,,,,,,,,,,
38,26,30,5,47,2394,3,,,,,,,,,,,
38,23,75,5,43,2429,3,,,,,,,,,,,
19,23,35,5,47,2419,3,,,,,,,,,,,
25,23,64,4,42,2394,3,,,,,,,,,,,
20,23,66,4,27,2482,3,,,,,,,,,,,
19,21,75,3,29,2087,3,,,,,,,,,,,
27,20,68,5,31,2235,3,,,,,,,,,,,
39,23,44,5,48,2380,3,,,,,,,,,,,
20,22,64,3,45,2556,3,,,,,,,,,,,
46,20,35,4,48,2219,3,,,,,,,,,,,
45,24,44,4,38,2140,3,,,,,,,,,,,
31,22,51,3,43,2187,3,,,,,,,,,,,
18,28,32,3,27,2375,3,,,,,,,,,,,
22,30,74,4,27,2586,3,,,,,,,,,,,
24,25,35,3,28,2402,3,,,,,,,,,,,
50,21,48,4,20,2620,3,,,,,,,,,,,
34,23,41,5,39,2036,3,,,,,,,,,,,
48,29,57,3,50,2062,3,,,,,,,,,,,
38,28,39,3,20,2101,3,,,,,,,,,,,
27,20,61,3,22,2135,3,,,,,,,,,,,
48,25,49,4,33,2444,3,,,,,,,,,,,
18,29,34,3,21,2245,3,,,,,,,,,,,
36,30,63,5,37,2305,3,,,,,,,,,,,
39,25,38,5,35,2669,3,,,,,,,,,,,
19,29,36,4,30,2416,3,,,,,,,,,,,
30,22,62,4,40,2549,3,,,,,,,,,,,
28,28,68,4,37,2034,3,,,,,,,,,,,
20,21,42,3,41,2600,3,,,,,,,,,,,
45,21,63,3,31,2370,3,,,,,,,,,,,
30,23,58,4,41,2619,3,,,,,,,,,,,
31,23,48,5,40,2456,3,,,,,,,,,,,
37,28,48,5,34,2536,3,,,,,,,,,,,
15,26,31,4,47,2527,3,,,,,,,,,,,
22,27,64,4,46,2201,3,,,,,,,,,,,
39,29,58,5,34,2687,3,,,,,,,,,,,
32,25,69,4,26,2094,3,,,,,,,,,,,
22,26,44,4,39,2641,3,,,,,,,,,,,
43,28,56,3,45,2156,3,,,,,,,,,,,
21,27,40,3,32,2467,3,,,,,,,,,,,
21,28,72,3,48,2434,3,,,,,,,,,,,
23,20,70,5,35,2050,3,,,,,,,,,,,
43,28,38,5,45,2453,3,,,,,,,,,,,
33,28,41,5,41,2192,3,,,,,,,,,,,
29,28,60,3,50,2079,3,,,,,,,,,,,
20,28,71,5,25,2527,3,,,,,,,,,,,
21,22,32,3,38,2236,3,,,,,,,,,,,
15,29,34,5,43,2417,3,,,,,,,,,,,
44,28,69,3,23,2383,3,,,,,,,,,,,
27,25,78,5,23,2111,3,,,,,,,,,,,
32,27,65,4,36,2300,3,,,,,,,,,,,
41,28,59,4,40,2402,3,,,,,,,,,,,
32,28,59,4,23,2604,3,,,,,,,,,,,
48,21,65,3,23,2258,3,,,,,,,,,,,
40,21,79,3,43,2357,3,,,,,,,,,,,
47,26,78,4,50,2310,3,,,,,,,,,,,
27,28,31,5,44,2156,3,,,,,,,,,,,
24,30,41,5,21,2262,3,,,,,,,,,,,
24,23,77,4,29,2574,3,,,,,,,,,,,
45,27,37,3,43,2149,3,,,,,,,,,,,
28,20,71,4,31,2370,3,,,,,,,,,,,
40,20,76,5,37,2024,3,,,,,,,,,,,
16,26,51,5,48,2562,3,,,,,,,,,,,
17,27,68,4,35,2149,3,,,,,,,,,,,
24,20,70,4,49,2599,3,,,,,,,,,,,
32,21,69,4,32,2467,3,,,,,,,,,,,
44,22,78,5,37,2148,3,,,,,,,,,,,
47,27,76,4,45,2655,3,,,,,,,,,,,
40,22,32,5,38,2021,3,,,,,,,,,,,
25,28,70,4,28,2150,3,,,,,,,,,,,
46,21,37,4,44,2623,3,,,,,,,,,,,
33,20,53,4,25,2389,3,,,,,,,,,,,
15,27,67,5,41,2510,3,,,,,,,,,,,
24,23,70,4,42,2664,3,,,,,,,,,,,
48,23,39,4,25,2135,3,,,,,,,,,,,
30,24,71,3,42,2326,3,,,,,,,,,,,
43,26,76,4,48,2541,3,,,,,,,,,,,
27,27,45,5,47,2004,3,,,,,,,,,,,
23,20,36,3,31,2501,3,,,,,,,,,,,
21,25,75,4,49,2329,3,,,,,,,,,,,
16,26,65,4,40,2512,3,,,,,,,,,,,
45,25,37,5,39,2286,3,,,,,,,,,,,
36,28,74,5,47,2188,3,,,,,,,,,,,
31,29,58,3,20,2646,3,,,,,,,,,,,
39,20,73,5,48,2695,3,,,,,,,,,,,
32,29,71,4,47,2342,3,,,,,,,,,,,
21,23,61,4,31,2490,3,,,,,,,,,,,
44,27,68,3,29,2046,3,,,,,,,,,,,
40,20,62,4,22,2553,3,,,,,,,,,,,
46,29,51,5,30,2200,3,,,,,,,,,,,
45,25,51,5,28,2425,3,,,,,,,,,,,
41,23,34,4,22,2595,3,,,,,,,,,,,
32,28,57,4,46,2522,3,,,,,,,,,,,
28,24,80,3,36,2442,3,,,,,,,,,,,
50,26,44,5,23,2213,3,,,,,,,,,,,
34,27,51,5,49,2501,3,,,,,,,,,,,
46,22,69,3,37,2204,3,,,,,,,,,,,
34,25,79,5,49,2269,3,,,,,,,,,,,
34,23,77,3,39,2262,3,,,,,,,,,,,
25,22,68,5,40,2373,3,,,,,,,,,,,
23,21,33,4,44,2434,3,,,,,,,,,,,
29,28,64,4,50,2462,3,,,,,,,,,,,
28,24,54,4,36,2689,3,,,,,,,,,,,
21,22,71,4,22,2354,3,,,,,,,,,,,
25,24,75,5,26,2589,3,,,,,,,,,,,
41,25,51,5,40,2244,3,,,,,,,,,,,
35,22,71,5,45,2367,3,,,,,,,,,,,
15,28,62,5,20,2415,3,,,,,,,,,,,
50,28,76,5,31,2051,3,,,,,,,,,,,
42,25,64,3,40,2303,3,,,,,,,,,,,
38,21,72,5,36,2163,3,,,,,,,,,,,
15,20,80,5,20,2612,3,,,,,,,,,,,
18,25,33,5,44,2600,3,,,,,,,,,,,
37,24,38,4,34,2288,3,,,,,,,,,,,
37,25,78,4,45,2379,3,,,,,,,,,,,
44,20,64,5,42,2599,3,,,,,,,,,,,
45,25,48,3,47,2158,3,,,,,,,,,,,
38,25,61,4,36,2481,3,,,,,,,,,,,
26,27,32,4,28,2485,3,,,,,,,,,,,
17,30,52,5,46,2359,3,,,,,,,,,,,
23,25,73,3,33,2025,3,,,,,,,,,,,
17,30,54,4,44,2300,3,,,,,,,,,,,
38,28,36,5,48,2504,3,,,,,,,,,,,
23,24,65,4,31,2090,3,,,,,,,,,,,
45,24,32,4,25,2460,3,,,,,,,,,,,
28,23,60,5,49,2097,3,,,,,,,,,,,
46,27,68,3,44,2494,3,,,,,,,,,,,
20,28,74,3,25,2258,3,,,,,,,,,,,
41,30,50,5,49,2407,3,,,,,,,,,,,
27,30,79,5,41,2017,3,,,,,,,,,,,
45,20,62,5,21,2662,3,,,,,,,,,,,
22,29,70,3,29,2162,3,,,,,,,,,,,
26,29,49,4,21,2699,3,,,,,,,,,,,
27,26,67,5,25,2498,3,,,,,,,,,,,
44,25,44,4,31,2335,3,,,,,,,,,,,
24,24,79,3,20,2321,3,,,,,,,,,,,
21,24,44,4,48,2608,3,,,,,,,,,,,
15,30,37,4,21,2376,3,,,,,,,,,,,
19,22,56,4,31,2077,3,,,,,,,,,,,
31,27,69,5,40,2652,3,,,,,,,,,,,
19,21,76,3,47,2338,3,,,,,,,,,,,
49,25,67,3,35,2282,3,,,,,,,,,,,
50,25,56,5,21,2547,3,,,,,,,,,,,
35,24,62,5,39,2081,3,,,,,,,,,,,
42,25,50,3,38,2042,3,,,,,,,,,,,
43,28,45,3,29,2388,3,,,,,,,,,,,
22,27,54,4,20,2094,3,,,,,,,,,,,
16,23,45,3,47,2690,3,,,,,,,,,,,
44,25,34,3,27,2371,3,,,,,,,,,,,
26,20,59,4,39,2087,3,,,,,,,,,,,
35,30,69,3,39,2355,3,,,,,,,,,,,
25,28,60,5,32,2669,3,,,,,,,,,,,
44,23,64,3,21,2222,3,,,,,,,,,,,
49,25,77,4,42,2596,3,,,,,,,,,,,
30,30,79,3,25,2210,3,,,,,,,,,,,
45,20,65,4,22,2210,3,,,,,,,,,,,
49,21,33,3,28,2413,3,,,,,,,,,,,
27,20,35,4,26,2038,3,,,,,,,,,,,
17,22,64,3,20,2199,3,,,,,,,,,,,
45,29,77,3,28,2045,3,,,,,,,,,,,
36,25,66,4,26,2583,3,,,,,,,,,,,
31,21,34,3,25,2197,3,,,,,,,,,,,
21,21,68,3,20,2040,3,,,,,,,,,,,
24,30,65,5,40,2209,3,,,,,,,,,,,
49,26,62,3,40,2378,3,,,,,,,,,,,
46,23,35,5,34,2273,3,,,,,,,,,,,
48,23,44,3,22,2263,3,,,,,,,,,,,
24,25,44,3,41,2245,3,,,,,,,,,,,
27,27,55,3,44,2047,3,,,,,,,,,,,
43,21,75,5,44,2057,3,,,,,,,,,,,
34,21,45,3,28,2323,3,,,,,,,,,,,
36,24,67,5,30,2559,3,,,,,,,,,,,
17,20,54,5,31,2206,3,,,,,,,,,,,
23,29,37,3,46,2515,3,,,,,,,,,,,
38,22,72,4,24,2023,3,,,,,,,,,,,
44,24,33,5,28,2238,3,,,,,,,,,,,
18,28,31,4,20,2212,3,,,,,,,,,,,
38,20,65,5,47,2064,3,,,,,,,,,,,
18,21,65,3,21,2358,3,,,,,,,,,,,
28,29,50,4,26,2583,3,,,,,,,,,,,
34,30,58,4,41,2467,3,,,,,,,,,,,
32,22,56,3,24,2534,3,,,,,,,,,,,
46,30,74,4,33,2438,3,,,,,,,,,,,
45,23,52,5,41,2183,3,,,,,,,,,,,
38,21,69,5,42,2349,3,,,,,,,,,,,
28,28,47,4,49,2586,3,,,,,,,,,,,
49,20,58,5,47,2639,3,,,,,,,,,,,
31,21,56,5,22,2540,3,,,,,,,,,,,
34,20,78,5,24,2248,3,,,,,,,,,,,
23,29,48,5,47,2646,3,,,,,,,,,,,
39,29,49,3,50,2612,3,,,,,,,,,,,
44,21,34,5,35,2291,3,,,,,,,,,,,
19,29,49,3,24,2521,3,,,,,,,,,,,
40,26,60,5,20,2234,3,,,,,,,,,,,
42,22,70,3,26,2198,3,,,,,,,,,,,
27,30,40,3,39,2568,3,,,,,,,,,,,
44,25,61,5,47,2168,3,,,,,,,,,,,
40,30,51,3,41,2457,3,,,,,,,,,,,
45,23,45,5,47,2290,3,,,,,,,,,,,
18,21,63,5,28,2345,3,,,,,,,,,,,
45,21,76,4,45,2267,3,,,,,,,,,,,
45,29,78,5,50,2376,3,,,,,,,,,,,
39,20,46,4,25,2487,3,,,,,,,,,,,
31,28,53,4,41,2064,3,,,,,,,,,,,
45,26,31,5,44,2410,3,,,,,,,,,,,
50,22,69,3,29,2650,3,,,,,,,,,,,
22,30,61,3,41,2594,3,,,,,,,,,,,
15,20,67,5,24,2013,3,,,,,,,,,,,
47,29,31,5,38,2584,3,,,,,,,,,,,
45,30,40,5,25,2413,3,,,,,,,,,,,
20,27,50,3,34,2122,3,,,,,,,,,,,
48,23,53,4,46,2680,3,,,,,,,,,,,
27,22,52,4,48,2424,3,,,,,,,,,,,
16,29,68,5,37,2324,3,,,,,,,,,,,
19,26,75,3,32,2238,3,,,,,,,,,,,
32,21,53,4,37,2052,3,,,,,,,,,,,
50,20,63,3,20,2298,3,,,,,,,,,,,
41,27,69,3,28,2470,3,,,,,,,,,,,
49,22,49,4,20,2246,3,,,,,,,,,,,
16,26,41,5,22,2204,3,,,,,,,,,,,
26,28,47,5,25,2215,3,,,,,,,,,,,
25,30,57,5,44,2292,3,,,,,,,,,,,
26,28,73,4,48,2415,3,,,,,,,,,,,
34,26,58,3,44,2588,3,,,,,,,,,,,
22,23,41,3,37,2336,3,,,,,,,,,,,
25,30,69,4,29,2288,3,,,,,,,,,,,
30,21,76,4,21,2056,3,,,,,,,,,,,
50,20,62,3,40,2485,3,,,,,,,,,,,
31,160,52,1,25,2422,4,,,,,,,,,,,
20,179,38,3,40,2237,4,,,,,,,,,,,
17,198,44,3,30,2318,4,,,,,,,,,,,
26,191,49,2,20,2621,4,,,,,,,,,,,
23,136,65,1,24,2453,4,,,,,,,,,,,
20,134,31,1,23,2086,4,,,,,,,,,,,
29,165,31,3,21,2364,4,,,,,,,,,,,
16,164,59,2,23,2414,4,,,,,,,,,,,
15,165,37,1,29,2151,4,,,,,,,,,,,
26,160,36,1,32,2511,4,,,,,,,,,,,
33,136,68,1,37,2273,4,,,,,,,,,,,
14,195,60,3,48,2072,4,,,,,,,,,,,
35,171,62,3,22,2332,4,,,,,,,,,,,
18,142,53,1,34,2274,4,,,,,,,,,,,
28,165,19,1,28,2529,4,,,,,,,,,,,
29,192,56,1,44,2238,4,,,,,,,,,,,
20,140,57,2,50,2630,4,,,,,,,,,,,
18,184,71,2,43,2478,4,,,,,,,,,,,
15,191,66,2,48,2016,4,,,,,,,,,,,
13,154,70,1,39,2622,4,,,,,,,,,,,
35,184,31,3,26,2127,4,,,,,,,,,,,
22,154,77,2,33,2319,4,,,,,,,,,,,
32,180,49,2,22,2101,4,,,,,,,,,,,
32,126,28,3,26,2628,4,,,,,,,,,,,
19,145,16,3,36,2638,4,,,,,,,,,,,
26,147,74,1,36,2401,4,,,,,,,,,,,
18,143,45,2,20,2593,4,,,,,,,,,,,
23,136,70,3,42,2684,4,,,,,,,,,,,
34,132,80,1,31,2678,4,,,,,,,,,,,
29,183,80,2,39,2085,4,,,,,,,,,,,
21,177,25,2,31,2606,4,,,,,,,,,,,
34,139,48,3,39,2616,4,,,,,,,,,,,
17,183,74,2,21,2427,4,,,,,,,,,,,
28,177,60,3,40,2320,4,,,,,,,,,,,
23,171,32,1,43,2510,4,,,,,,,,,,,
13,164,48,1,44,2073,4,,,,,,,,,,,
31,193,64,1,40,2595,4,,,,,,,,,,,
29,200,24,3,44,2686,4,,,,,,,,,,,
23,195,50,2,30,2647,4,,,,,,,,,,,
35,147,28,1,33,2005,4,,,,,,,,,,,
30,190,65,3,26,2640,4,,,,,,,,,,,
35,151,25,3,49,2560,4,,,,,,,,,,,
15,139,12,3,49,2200,4,,,,,,,,,,,
20,140,76,3,41,2308,4,,,,,,,,,,,
33,136,68,2,32,2621,4,,,,,,,,,,,
27,135,35,1,25,2558,4,,,,,,,,,,,
20,199,30,3,20,2163,4,,,,,,,,,,,
18,144,37,2,50,2366,4,,,,,,,,,,,
33,145,32,1,41,2300,4,,,,,,,,,,,
13,158,22,1,42,2289,4,,,,,,,,,,,
15,187,23,3,21,2612,4,,,,,,,,,,,
34,196,73,1,25,2524,4,,,,,,,,,,,
23,184,28,3,36,2649,4,,,,,,,,,,,
30,137,57,1,31,2311,4,,,,,,,,,,,
33,142,38,1,33,2388,4,,,,,,,,,,,
24,191,80,1,33,2467,4,,,,,,,,,,,
19,173,12,1,36,2577,4,,,,,,,,,,,
16,191,57,1,37,2005,4,,,,,,,,,,,
20,176,36,3,50,2653,4,,,,,,,,,,,
27,131,41,1,42,2312,4,,,,,,,,,,,
28,143,75,3,24,2062,4,,,,,,,,,,,
19,147,28,3,36,2672,4,,,,,,,,,,,
27,173,13,1,21,2323,4,,,,,,,,,,,
14,143,50,1,43,2496,4,,,,,,,,,,,
20,129,72,2,46,2633,4,,,,,,,,,,,
18,163,69,3,45,2463,4,,,,,,,,,,,
26,184,77,1,49,2310,4,,,,,,,,,,,
18,142,34,2,24,2009,4,,,,,,,,,,,
24,157,44,3,25,2321,4,,,,,,,,,,,
18,140,24,1,36,2491,4,,,,,,,,,,,
13,194,51,3,33,2102,4,,,,,,,,,,,
29,195,30,3,43,2445,4,,,,,,,,,,,
29,197,59,1,44,2534,4,,,,,,,,,,,
19,175,39,3,25,2125,4,,,,,,,,,,,
26,140,44,2,41,2509,4,,,,,,,,,,,
16,164,70,1,21,2616,4,,,,,,,,,,,
29,165,34,3,23,2309,4,,,,,,,,,,,
23,157,71,1,35,2338,4,,,,,,,,,,,
13,158,54,1,43,2496,4,,,,,,,,,,,
13,147,40,1,47,2445,4,,,,,,,,,,,
19,189,62,1,27,2687,4,,,,,,,,,,,
16,186,14,2,47,2331,4,,,,,,,,,,,
33,179,65,2,38,2319,4,,,,,,,,,,,
33,171,21,3,50,2534,4,,,,,,,,,,,
35,192,51,3,49,2470,4,,,,,,,,,,,
22,125,42,3,25,2700,4,,,,,,,,,,,
18,185,47,3,29,2004,4,,,,,,,,,,,
30,199,59,1,22,2254,4,,,,,,,,,,,
24,161,55,2,45,2574,4,,,,,,,,,,,
13,190,39,3,41,2294,4,,,,,,,,,,,
17,158,26,3,20,2070,4,,,,,,,,,,,
29,139,80,2,25,2699,4,,,,,,,,,,,
26,145,12,3,35,2094,4,,,,,,,,,,,
21,196,21,1,23,2118,4,,,,,,,,,,,
30,133,18,3,38,2158,4,,,,,,,,,,,
35,146,27,3,25,2014,4,,,,,,,,,,,
29,190,46,1,29,2138,4,,,,,,,,,,,
23,184,14,3,20,2292,4,,,,,,,,,,,
17,187,54,3,38,2595,4,,,,,,,,,,,
26,199,10,2,34,2270,4,,,,,,,,,,,
23,167,58,1,49,2081,4,,,,,,,,,,,
18,142,71,3,32,2413,4,,,,,,,,,,,
21,179,30,2,38,2301,4,,,,,,,,,,,
14,194,65,3,30,2258,4,,,,,,,,,,,
17,137,51,1,44,2398,4,,,,,,,,,,,
35,157,33,3,22,2360,4,,,,,,,,,,,
15,181,31,1,46,2287,4,,,,,,,,,,,
32,161,16,1,46,2416,4,,,,,,,,,,,
32,137,58,1,35,2254,4,,,,,,,,,,,
34,135,50,2,49,2452,4,,,,,,,,,,,
14,143,23,2,22,2353,4,,,,,,,,,,,
19,149,52,1,27,2268,4,,,,,,,,,,,
30,154,17,2,29,2361,4,,,,,,,,,,,
26,199,61,2,30,2389,4,,,,,,,,,,,
22,169,69,1,36,2686,4,,,,,,,,,,,
31,150,24,2,28,2594,4,,,,,,,,,,,
29,189,49,2,39,2398,4,,,,,,,,,,,
20,155,32,1,36,2543,4,,,,,,,,,,,
30,181,53,1,38,2033,4,,,,,,,,,,,
20,158,35,2,38,2129,4,,,,,,,,,,,
25,184,44,2,49,2016,4,,,,,,,,,,,
19,199,19,2,24,2471,4,,,,,,,,,,,
27,198,25,1,30,2536,4,,,,,,,,,,,
25,129,36,2,34,2078,4,,,,,,,,,,,
27,140,37,2,40,2511,4,,,,,,,,,,,
20,165,41,3,47,2280,4,,,,,,,,,,,
35,169,28,2,28,2181,4,,,,,,,,,,,
33,188,79,3,39,2260,4,,,,,,,,,,,
30,142,13,1,25,2284,4,,,,,,,,,,,
13,165,67,2,29,2465,4,,,,,,,,,,,
18,176,23,1,28,2297,4,,,,,,,,,,,
35,183,42,1,46,2682,4,,,,,,,,,,,
17,135,18,1,25,2355,4,,,,,,,,,,,
35,194,39,3,48,2041,4,,,,,,,,,,,
23,174,68,2,33,2182,4,,,,,,,,,,,
33,140,50,3,29,2142,4,,,,,,,,,,,
23,200,66,1,23,2180,4,,,,,,,,,,,
24,137,75,1,50,2582,4,,,,,,,,,,,
20,200,62,1,29,2289,4,,,,,,,,,,,
17,132,56,1,35,2021,4,,,,,,,,,,,
26,170,28,2,49,2237,4,,,,,,,,,,,
27,179,40,3,48,2092,4,,,,,,,,,,,
33,162,35,1,48,2647,4,,,,,,,,,,,
21,199,39,2,30,2613,4,,,,,,,,,,,
15,184,58,2,44,2526,4,,,,,,,,,,,
21,145,10,1,37,2604,4,,,,,,,,,,,
26,168,53,2,41,2428,4,,,,,,,,,,,
28,147,79,3,27,2692,4,,,,,,,,,,,
32,174,55,1,28,2032,4,,,,,,,,,,,
18,169,69,3,28,2074,4,,,,,,,,,,,
34,133,26,3,36,2297,4,,,,,,,,,,,
16,193,23,1,46,2425,4,,,,,,,,,,,
30,138,45,1,46,2064,4,,,,,,,,,,,
34,173,11,3,26,2176,4,,,,,,,,,,,
32,131,28,1,35,2670,4,,,,,,,,,,,
13,168,47,3,36,2378,4,,,,,,,,,,,
25,135,20,2,36,2594,4,,,,,,,,,,,
22,198,14,2,40,2129,4,,,,,,,,,,,
22,163,16,3,32,2445,4,,,,,,,,,,,
33,125,39,1,44,2435,4,,,,,,,,,,,
20,149,68,1,39,2294,4,,,,,,,,,,,
34,151,19,2,49,2253,4,,,,,,,,,,,
14,161,11,2,22,2041,4,,,,,,,,,,,
18,183,54,2,49,2673,4,,,,,,,,,,,
16,187,49,1,36,2381,4,,,,,,,,,,,
33,170,49,3,47,2483,4,,,,,,,,,,,
27,128,27,3,28,2318,4,,,,,,,,,,,
13,189,14,1,41,2545,4,,,,,,,,,,,
21,152,27,2,22,2317,4,,,,,,,,,,,
24,137,45,1,45,2227,4,,,,,,,,,,,
27,125,51,2,35,2421,4,,,,,,,,,,,
28,146,37,2,44,2203,4,,,,,,,,,,,
31,170,52,3,25,2144,4,,,,,,,,,,,
34,184,25,2,24,2355,4,,,,,,,,,,,
18,144,54,3,46,2357,4,,,,,,,,,,,
15,184,45,2,27,2240,4,,,,,,,,,,,
20,166,53,1,48,2158,4,,,,,,,,,,,
28,168,17,1,40,2278,4,,,,,,,,,,,
20,160,33,3,34,2207,4,,,,,,,,,,,
16,185,57,3,46,2330,4,,,,,,,,,,,
21,134,69,1,50,2130,4,,,,,,,,,,,
24,139,25,1,45,2478,4,,,,,,,,,,,
34,145,23,1,24,2159,4,,,,,,,,,,,
24,199,72,2,44,2594,4,,,,,,,,,,,
19,189,46,2,27,2318,4,,,,,,,,,,,
19,147,16,2,21,2405,4,,,,,,,,,,,
26,175,29,3,26,2464,4,,,,,,,,,,,
22,148,15,3,46,2220,4,,,,,,,,,,,
23,185,62,2,37,2699,4,,,,,,,,,,,
18,128,30,1,29,2355,4,,,,,,,,,,,
25,169,75,1,20,2342,4,,,,,,,,,,,
13,157,43,3,44,2098,4,,,,,,,,,,,
33,190,29,3,48,2435,4,,,,,,,,,,,
33,190,77,1,46,2159,4,,,,,,,,,,,
32,159,23,3,28,2597,4,,,,,,,,,,,
29,192,80,2,38,2264,4,,,,,,,,,,,
23,197,14,2,43,2035,4,,,,,,,,,,,
32,180,75,1,23,2054,4,,,,,,,,,,,
13,200,30,2,29,2096,4,,,,,,,,,,,
14,145,77,1,42,2557,4,,,,,,,,,,,
20,188,10,1,29,2662,4,,,,,,,,,,,
27,188,26,3,50,2236,4,,,,,,,,,,,
33,174,16,2,25,2156,4,,,,,,,,,,,
34,145,35,1,38,2479,4,,,,,,,,,,,
15,128,60,2,38,2144,4,,,,,,,,,,,
20,126,40,2,43,2161,4,,,,,,,,,,,
26,193,59,2,39,2051,4,,,,,,,,,,,
28,143,39,2,22,2118,4,,,,,,,,,,,
31,156,25,3,37,2482,4,,,,,,,,,,,
27,171,61,1,49,2096,4,,,,,,,,,,,
22,193,68,1,26,2425,4,,,,,,,,,,,
22,130,67,3,23,2413,4,,,,,,,,,,,
17,140,62,1,28,2410,4,,,,,,,,,,,
14,125,38,2,45,2276,4,,,,,,,,,,,
33,126,70,3,23,2240,4,,,,,,,,,,,
23,193,13,2,45,2626,4,,,,,,,,,,,
31,166,42,2,23,2514,4,,,,,,,,,,,
34,155,43,2,42,2216,4,,,,,,,,,,,
22,186,23,3,31,2603,4,,,,,,,,,,,
28,146,62,2,45,2353,4,,,,,,,,,,,
32,173,30,3,29,2149,4,,,,,,,,,,,
16,172,26,3,45,2102,4,,,,,,,,,,,
21,143,32,3,41,2000,4,,,,,,,,,,,
32,138,69,1,44,2517,4,,,,,,,,,,,
24,195,19,2,22,2173,4,,,,,,,,,,,
35,160,30,2,40,2493,4,,,,,,,,,,,
19,137,34,3,45,2495,4,,,,,,,,,,,
23,174,20,2,43,2233,4,,,,,,,,,,,
17,141,25,2,35,2080,4,,,,,,,,,,,
34,182,71,2,40,2067,4,,,,,,,,,,,
34,140,17,1,48,2460,4,,,,,,,,,,,
26,135,32,3,32,2111,4,,,,,,,,,,,
21,126,69,3,27,2552,4,,,,,,,,,,,
24,127,68,1,29,2062,4,,,,,,,,,,,
25,126,15,3,44,2273,4,,,,,,,,,,,
28,130,11,3,27,2648,4,,,,,,,,,,,
25,173,62,3,26,2028,4,,,,,,,,,,,
13,138,54,3,41,2203,4,,,,,,,,,,,
22,156,48,2,50,2591,4,,,,,,,,,,,
18,140,20,1,44,2395,4,,,,,,,,,,,
26,130,77,1,31,2005,4,,,,,,,,,,,
29,134,77,3,43,2596,4,,,,,,,,,,,
29,146,38,1,43,2268,4,,,,,,,,,,,
25,152,36,1,37,2361,4,,,,,,,,,,,
24,126,10,1,46,2004,4,,,,,,,,,,,
27,196,37,1,22,2245,4,,,,,,,,,,,
13,173,77,2,38,2283,4,,,,,,,,,,,
15,170,75,1,35,2304,4,,,,,,,,,,,
33,141,71,1,24,2269,4,,,,,,,,,,,
25,164,51,1,42,2600,4,,,,,,,,,,,
16,127,15,1,24,2535,4,,,,,,,,,,,
35,128,75,1,26,2403,4,,,,,,,,,,,
19,190,75,3,49,2159,4,,,,,,,,,,,
25,156,78,1,39,2266,4,,,,,,,,,,,
31,176,17,3,38,2248,4,,,,,,,,,,,
20,134,40,3,42,2102,4,,,,,,,,,,,
31,154,79,3,45,2506,4,,,,,,,,,,,
23,139,60,1,22,2292,4,,,,,,,,,,,
35,183,45,2,43,2193,4,,,,,,,,,,,
19,145,41,3,36,2409,4,,,,,,,,,,,
21,134,31,2,41,2437,4,,,,,,,,,,,
32,195,72,2,47,2220,4,,,,,,,,,,,
35,138,41,3,29,2265,4,,,,,,,,,,,
35,171,47,3,41,2012,4,,,,,,,,,,,
21,172,67,1,29,2630,4,,,,,,,,,,,
20,170,19,1,37,2520,4,,,,,,,,,,,
32,147,13,1,35,2030,4,,,,,,,,,,,
33,152,68,3,38,2144,4,,,,,,,,,,,
26,177,35,2,50,2077,4,,,,,,,,,,,
17,157,41,2,40,2321,4,,,,,,,,,,,
25,158,24,3,39,2664,4,,,,,,,,,,,
30,129,67,3,44,2061,4,,,,,,,,,,,
23,161,24,1,48,2612,4,,,,,,,,,,,
17,138,42,3,32,2696,4,,,,,,,,,,,
19,195,60,2,23,2396,4,,,,,,,,,,,
31,134,78,1,43,2166,4,,,,,,,,,,,
29,150,61,2,40,2107,4,,,,,,,,,,,
23,133,67,1,28,2009,4,,,,,,,,,,,
32,177,59,3,26,2230,4,,,,,,,,,,,
16,133,71,1,20,2454,4,,,,,,,,,,,
23,172,19,1,48,2409,4,,,,,,,,,,,
33,149,56,1,29,2354,4,,,,,,,,,,,
30,145,31,2,33,2174,4,,,,,,,,,,,
29,156,43,1,29,2055,4,,,,,,,,,,,
19,189,46,1,50,2367,4,,,,,,,,,,,
20,156,76,2,33,2661,4,,,,,,,,,,,
28,181,43,1,31,2010,4,,,,,,,,,,,
16,177,31,2,21,2676,4,,,,,,,,,,,
